ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LIGHT (lux),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.695,-11.415,-0.335,66,0,59.95,,,,NaN,,,,0 / 0,67504,2018-11-08 11:28:49:683
0.028,-14.48,2.039,48,0,55.52,,,,NaN,,,,0 / 0,67754,2018-11-08 11:28:49:933
-2.968,-8.887,-0.047,50,0,55.52,,,,NaN,,,,0 / 0,68005,2018-11-08 11:28:50:184
-2.365,-11.023,-0.421,49,0,54.4,,,,NaN,,,,0 / 0,68255,2018-11-08 11:28:50:434
-0.699,-17.526,0.162,42,0,56.82,,,,NaN,,,,0 / 0,68505,2018-11-08 11:28:50:684
4.97,-7.403,5.248,49,1,48.46,,,,NaN,,,,0 / 0,68755,2018-11-08 11:28:50:934
-1.398,-5.19,1.743,41994,1,62.27,,,,NaN,,,,0 / 0,69005,2018-11-08 11:28:51:184
2.221,-1.379,11.636,65535,1,45.66,,,,NaN,,,,0 / 0,69255,2018-11-08 11:28:51:434
2.892,-0.66,9.998,32943,1,45.66,,,,NaN,,,,0 / 0,69505,2018-11-08 11:28:51:684
1.015,0.986,9.51,9694,1,48.61,,,,NaN,,,,0 / 0,69755,2018-11-08 11:28:51:934
1.561,2.059,9.481,5540,1,44.78,,,,NaN,,,,0 / 0,70005,2018-11-08 11:28:52:184
-0.727,4.357,9.519,4494,1,45.32,,,,NaN,,,,0 / 0,70255,2018-11-08 11:28:52:434
1.225,2.863,11.243,4043,1,49.79,,,,NaN,,,,0 / 0,70505,2018-11-08 11:28:52:684
2.145,4.099,8.006,4229,1,49.79,,,,NaN,,,,0 / 0,70755,2018-11-08 11:28:52:934
0.172,3.945,8.705,4367,1,46.03,,,,NaN,,,,0 / 0,71005,2018-11-08 11:28:53:184
0.201,3.792,9.376,4041,1,42.65,,,,NaN,,,,0 / 0,71255,2018-11-08 11:28:53:434
0.162,3.543,9.529,4026,1,46.76,,,,NaN,,,,0 / 0,71504,2018-11-08 11:28:53:683
